Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
--------|--------
"cooling-off" period|«սառեցման» շրջան
#BLOCKED!|#ԱՐԳԵԼԱՓԱԿՎԱԾ!
#CONNECT!|#ԿԱՊԱԿՑՈՒՄ
#NOSPILL!|#ՉՎԱՆԴԱԿԱՀԱՏՈՒՄ!
.NET Framework|.NET Framework
.pst|.pst
.theme file|.theme նիշք
100% stacked bar chart|100% շեղջված գոտեձև գծապատկեր
100% stacked column chart|100% շեղջված սյունակաձև գծապատկեր
2-D|2-չափ
2D Maps|2-չափ քարտեզներ
2D view|2-չափ տեսք
2-in-1|երկուսը` մեկում
360° video|360° տեսանյութ
3D|3-չափ
3-D|3-չափ
3-D column chart|3- չափ սյունաձև գծապատկեր
3-D effect|3-չափ պատկերում
3D Maps|3-չափ քարտեզներ
3-D reference|3-չափ հղում
3-D walls and floor|3-չափ պատեր և հատակ
3DES|3DES
802.1X|802.1X
8-bit color|8-բիթանոց գույն
AAL|AAL
abandon|կիսատ թողնել
ABN|ABN
About|Մասին
absolute cell reference|վանդակի բացարձակ հղում
absolute link|բացարձակ կապ
absolute positioning|բացարձակ դիրքավորում
absolute URL|բացարձակ URL
abstract|սեղմագիր
Academic Library|Academic-ի դարան
accent color|շեշտման գույն
Accent Process|Շեշտման ընթացք
acceptable use policy|ընդունելի գործածման դրույթներ
access|մատչել, մատչում
access code|մատչման կոդ
access control list|մատչման հսկիչ ցուցակ
access key|մատչման բանալի
Access number|Մատչման համար
access permissions|մատչման թույլտվություններ
access point|մատչման կետ
access provider|մատչում տրամադրող
Access Services|Access Services
access violation|մատչման խախտում
accessibility|մատչելիություն
Accessibility Advocate|Մատչելիության օգնական
accessibility aid|մատչելիությունն օժանդակող պիտույք
Accessibility Checker|Մատչելիության ստուգիչ
Accessibility Wizard|մատչելիության օգնական
accessory|պիտույք
account|հաշիվ
account balance|հաշվեկշիռ
account expiration|հաշվի սպառում
account lockout|հաշվի կողպում
account manager|հաշվի կառավարիչ
account picture|հաշվի նկար
accounting|հաշվառում
Accounting & finance|Հաշվապահություն և ֆինանսներ
ACE|ՄԿԳ
achievement|նվաճում
ACL|ACL
action|գործողություն
Action & adventure|Գործողություն և արկածներ
action argument|գործողության փոփոխական, արգումենտ
action button|գործողության կոճակ
action center|գործողությունների կենտրոն
Action Items|Գործողության միավորներ
action node|գործողության հանգույց
action query|գործողության հարցում
action row|գործողության տող
action statement|գործադրույթ
activate|ակտիվացնել, գործունացնել
active|գործուն
active cell|գործուն վանդակ
active content|գործուն բովանդակություն
Active Directory Domain Services|Գործուն գրացուցակների տիրույթների ծառայություն
Active Directory-based activation|Active Directory-ով գործունացում
active document|ընթացիկ փաստաթուղթ
active document window|գործուն փաստաթղթի պատուհան
active field|գործուն դաշտ
active hours|օգտագործելու ժամերը
active object|գործուն առարկա
Active Server Pages|Սպասարկիչի գործուն էջեր
active sheet|ընթացիկ թերթ
active window|ընթացիկ պատուհան
ActiveX|ActiveX
ActiveX control|ActiveX կառավար
ActiveX Data Objects|ActiveX տվյալների առարկաներ
ActiveX object|ActiveX-ի առարկա
activity|գործունեություն
